date,time_start,time_end,project_name,type_of_writing,word_count,place
2018-08-30,09:35,09:55,blog post,first draft,390,mit_desk
2018-08-30,21:22,22:47,short story,first draft,897,bed
2018-09-01,08:35,10:00,short story,outlines,700,casa_mel
2018-09-02,22:16,23:59,novel,first draft,800,living_table
2018-09-03,00:00,00:32,novel,first draft,300,bed
2018-09-03,19:50,21:03,short story,first draft,1323,living_table
2018-09-04,22:00,23:05,short story,first draft,1038,living_table
2018-09-05,22:48,23:35,blog post,first draft,820,bed
2018-09-07,23:06,23:45,short story,first draft,565,bed
2018-09-08,09:55,10:57,short story,second draft,262,living_table
2018-09-08,10:57,12:40,short story,first draft,1414,living_table
2018-09-09,13:38,14:28,short story,first draft,494,home_desk
2018-09-09,19:37,21:05,short story,second draft,917,living_table
2018-09-10,20:17,21:03,short story,first draft,475,living_table
2018-09-13,21:21,22:40,blog post,first draft,624,living_table
2018-09-13,22:53,22:43,short story,first draft,573,bed
2018-09-14,23:24,23:59,short story,first draft,379,bed
2018-09-15,09:56,10:47,short story,second draft,616,living_table
2018-09-16,19:14,19:50,short story,second draft,134,living_table
2018-09-16,19:50,20:38,short story,first draft,566,living_table
2018-09-17,23:14,23:49,short story, first draft,587,bed
2018-09-20,19:37,20:05,blog post,first draft,504,in_transit
2018-09-20,22:05,23:11,blog post,first draft,456,living_table
2018-09-21,00:00,00:30,blog post,first draft,471,living_table
2018-09-21,20:27,21:09,short story,first draft,714,living_table
2018-09-22,15:20,15:35,reflection,first draft,178,living_table
2018-09-22,15:35,17:58,short story,first draft,1530,home_desk
2018-09-23,15:22,16:39,short story,first draft,1394,home_desk
2018-09-23,16:39,17:38,short story,second draft,106,home_desk
2018-09-24,22:12,22:50,short story,first draft,542,bed
2018-09-25,18:46,19:25,blog post,first draft,450,in_transit
2018-09-26,20:11,21:08,blog post,second draft,142,home_desk
2018-09-26,23:05,23:59,blog post,first draft,719,home_desk
2018-09-29,19:55,22:34,short story,first draft,1764,home_desk
2018-09-30,11:00,12:55,R-intro,first draft,700,home_desk
2018-09-30,19:30,20:45,short story,first draft,790,home_desk
2018-10-01,22:41,23:42,novel,first draft,736,home_desk
2018-10-14,18:26,20:17,novel,first draft,1410,home_desk
2018-10-17,21:44,22:43,novel,first draft,558,home_desk
2018-10-21,20:13,20:48,novel,firt draft,484,home_desk
2018-11-04,20:28,21:00,novel,first draft,377,home_desk
2018-11-11,18:52,19:23,novel,first draft,256,home_desk
2018-11-11,20:24,21:16,short story,first draft,573,home_desk
2018-11-12,19:44,21:17,short story,first draft,815,home_desk
2018-11-23,12:12,12:32,blog post,first draft,122,home_desk
2018-11-23,18:06,19:00,blog post,first draft,497,home_desk
2018-11-23,20:03,21:06,short story,first draft,468,home_desk
2018-11-24,09:51,11:39,short story,first draft,310,home_desk
2018-11-24,15:45,16:39,short story,second draft,8,home_desk
2018-12-06,16:59,18:13,short story,first draft,926,in_transit
2018-12-12,12:27,12:51,short story,first draft,320,in_transit
2018-12-13,19:50,22:00,short story,second draft,936,home_desk
2018-12-14,11:01,11:55,novel,first draft,253,home_desk
2018-12-14,16:48,18:36,short story,first draft,554,home_desk
2018-12-20,18:50,19:09,blog post,outlines,328,mit_desk
2018-12-23,19:44,20:14,first draft,non-fiction,346,home_desk
2019-01-01,11:31,12:27,first draft,blog post,818,home_desk
2019-01-02,13:42,14:50,first draft,blog post,782,mit_desk
2019-01-19,15:07,16:45,second draft,short story,135,home_desk
2019-01-31,20:35,22:00,second draft,short story,352,home_desk
2019-01-31,10:04,,second draft,short story,115,living_table